On iwillvote.com?,Form complete?,Muni,AbsenteeLocation,Address,FromDate,ToDate,AdditionalInstructions
,,TOWN OF BURLINGTON - RACINE COUNTY,Town Hall,"32288 BUSHNELL RD, BURLINGTON, WI 53105-9426",9/23/2020,11/3/2020,
,,TOWN OF BURNS - LA CROSSE COUNTY,Burns Town Hall Drop Box,"W1313 JEWETT RD, BANGOR, WI 54614",9/18/2020,11/3/2020,
,,TOWN OF CADIZ - GREEN COUNTY,Cadiz Town Hall,"W8445 COUNTY ROAD B, BROWNTOWN, WI 53522",9/16/2020,11/3/2020,
,,TOWN OF CALAMUS - DODGE COUNTY,Town Hall drop box,"W9820 COUNTY ROAD D, BEAVER DAM, WI 53916-9165",10/1/2020,11/3/2020,
,,TOWN OF CALEDONIA - COLUMBIA COUNTY,Caledonia Town Hall,"N5479 BEICH RD, PORTAGE, WI 53901-9698",10/7/2020,11/3/2020,
,,TOWN OF CEDARBURG - OZAUKEE COUNTY,Cedarburg Town Hall,"1293 WASHINGTON AVE, CEDARBURG, WI 53012-9304",9/21/2020,11/3/2020,"Town residents looking to drop off their completed absentee ballots are asked to drop them off with staff during normal business hours, between 8:00 am and 4:30 pm Monday through Friday at Cedarburg Town Hall. On November 3rd, residents can drop off their completed ballots as late as 8:00 pm at Town Hall or their polling location."
,,TOWN OF CENTER - OUTAGAMIE COUNTY,Town of Center Hall,"N3990 STATE ROAD 47, APPLETON, WI 54913",9/21/2020,11/3/2020,
,,TOWN OF CENTER - ROCK COUNTY,CENTER TOWN HALL,"9119 W COUNTY ROAD A, EVANSVILLE, WI 53536-9509",9/17/2020,11/3/2020,
,,TOWN OF CHICOG - WASHBURN COUNTY,Town Hall Drop Box,"W8499 HIGHWAY 77, TREGO, WI 54888-9158",9/24/2020,11/3/2020,
,,TOWN OF CHIPPEWA - ASHLAND COUNTY,Town of Chippewa Clerk's Office (at Village of Butternut),"301 W MICHIGAN ST, BUTTERNUT, WI 54514-9782",10/20/2020,11/3/2020,Available until 8pm 11/03/2020
,,TOWN OF CLARNO - GREEN COUNTY,Clarno Town Hall,"W6126 COUNTY ROAD B, MONROE, WI 53566",9/29/2020,11/3/2020,
,,TOWN OF CLEAR LAKE - POLK COUNTY,Absentee dropbox,"209 50TH AVE, CLAYTON, WI 54004-3506",10/30/2020,11/3/2020,
,,TOWN OF CLEVELAND - CHIPPEWA COUNTY,Clerk's Home,"20165 COUNTY HIGHWAY Z, CORNELL, WI 54732-5110",9/17/2020,11/3/2020,Dropbox is weatherproof and checked daily.  Located at front door entrance of house.
,,TOWN OF CLEVELAND - CHIPPEWA COUNTY,Cleveland Town Hall,"20470 STATE HIGHWAY 64, CORNELL, WI 54732-5424",9/17/2020,11/3/2020,"Dropbox is weatherproof, and checked daily"
,,TOWN OF CLEVELAND - MARATHON COUNTY,Town of Cleveland Drop Box,"214261 COUNTY ROAD M, STRATFORD, WI 54484",10/1/2020,11/3/2020,The drop box is the black box by the highway in front of the town hall.  It is locked at all time.  There is a slot that where you can insert your ballot.
,,TOWN OF COLFAX - DUNN COUNTY,Colfax Townhall Door Drop box,"N8409 COUNTY ROAD M, COLFAX, WI 54730-5041",9/18/2020,11/3/2020,
,,TOWN OF CORNING - LINCOLN COUNTY,Town Hall,"N1569 STATE RD 64 & 107, MERRILL, WI 54452",9/23/2020,11/3/2020,
,,TOWN OF COTTAGE GROVE - DANE COUNTY,Cottage Grove Town Hall,"4058 COUNTY ROAD N, COTTAGE GROVE, WI 53527-9503",9/18/2020,11/3/2020,There is a blue drive up ballot box in the parking lot near the mailbox.
,,TOWN OF DECATUR - GREEN COUNTY,Decatur Town Hall,"1408 14TH ST, BRODHEAD, WI 53520-1659",9/29/2020,11/3/2020,
,,TOWN OF DEKORRA - COLUMBIA COUNTY,Poynette Municipal Building,"106 S MAIN ST, POYNETTE, WI 53955-8917",9/22/2020,11/3/2020,Please call to schedule an appointment for in person early voting
,,TOWN OF DELTON - SAUK COUNTY,Marshall Memorial Hall,"30 WISCONSIN DELLS PARKWAY SOUTH, LAKE DELTON, WI 53940",9/21/2020,11/3/2020,"Witnessing only available during regular office hours.  Monday, Wednesday and Friday 1-4 p.m."
,,TOWN OF DEWEY - PORTAGE COUNTY,Town Hall,"430 DEWEY DR, STEVENS POINT, WI 54482-9655",9/18/2020,11/3/2020,
,,TOWN OF DODGEVILLE - IOWA COUNTY,Town Hall,"108 E LEFFLER ST, DODGEVILLE, WI 53533-2114",9/17/2020,11/3/2020,The ballot must be placed in the drop box prior to 8:00 p.m. on Election Night.
,,TOWN OF DOVER - RACINE COUNTY,Dover Municipal Building Drop Box,"4110 S BEAUMONT AVE, KANSASVILLE, WI 53139-9522",9/21/2020,11/3/2020,
,,TOWN OF DRAPER - SAWYER COUNTY,Draper Town Hall,"6994 N MAIN ST, LORETTA, WI 54896-6138",9/28/2020,11/3/2020,Secure Absentee Ballot Drop Box in Town Hall door is now available!
,,TOWN OF EAGLE POINT - CHIPPEWA COUNTY,Town Hall,"14802 STATE HIGHWAY 124, CHIPPEWA FALLS, WI 54729-6139",9/17/2020,11/3/2020,
,,TOWN OF EATON - BROWN COUNTY,Town of Eaton Dropbox,"3877 S MICHIELS RD, DENMARK, WI 54208-8870",9/17/2020,11/3/2020,
,,TOWN OF EGG HARBOR - DOOR COUNTY,Egg Harbor Town Hall,"5242 COUNTY ROAD I, STURGEON BAY, WI 54235-9669",9/23/2020,11/3/2020,
,,TOWN OF ELBA - DODGE COUNTY,Town Hall Drop Box,"N3799 COUNTY ROAD T, COLUMBUS, WI 53925",10/20/2020,11/3/2020,Drop Box Located By Handicapped Parking Sign and is clearly marked DROP BOX
,,TOWN OF ELK - PRICE COUNTY,Town Hall Drop Box,"N8314 DANISH SETTLEMENT RD, PHILLIPS, WI 54555",9/17/2020,11/3/2020,Located at top of ramp
,,TOWN OF ELK MOUND - DUNN COUNTY,Drop Box,"N6299 906TH ST, ELK MOUND, WI 54739",10/9/2020,11/3/2020,
,,TOWN OF ETTRICK - TREMPEALEAU COUNTY,Town of Ettrick,"22734 WEST AVE, ETTRICK, WI 54627-7742",9/23/2020,11/3/2020,Available until 8pm 11/03/2020
,,TOWN OF EVERGREEN - WASHBURN COUNTY,Evergreen Town Hall,"W8896 CARLTON RD, SPOONER, WI 54801-7627",9/17/2020,11/3/2020,Ballots can be put in the locked mailbox at the road in front of the town hall.  Only Town staff have access to get the ballots out of the box.
,,TOWN OF EXETER - GREEN COUNTY,Exeter Town Hall,"W2998 HWY 92, BELLEVILLE, WI 53508",9/29/2020,11/3/2020,
,,TOWN OF FARMINGTON - LA CROSSE COUNTY,Farmington Town Hall,"N8309 STATE ROAD C, MINDORO, WI 54644-9503",9/23/2020,11/3/2020,Please use black security box labeled ballots that is located near the front door of hall.
,,TOWN OF FLORENCE - FLORENCE COUNTY,Town of Florence Office Drop Off Box,"749 CENTRAL AVE, FLORENCE, WI 54121-9491",9/17/2020,11/3/2020,"The drop off box is located to the right of the Town of Florence Office Door.  It is available 24 hours a day, 7 days a week.  All ballots must be returned by 8:00 p.m. on Election Day (11-03-2020)."
,,TOWN OF FULTON - ROCK COUNTY,Town of Fulton Town Hall,"2738 W FULTON CENTER DR, EDGERTON, WI 53534-8528",9/17/2020,11/3/2020,
,,TOWN OF GENESEE - WAUKESHA COUNTY,Genesee Town Hall,"S43W31391 HWY 83, GENESEE DEPOT, WI 53127",9/17/2020,11/3/2020,
,,TOWN OF GERMANTOWN - JUNEAU COUNTY,Town Hall,"N7560 17TH AVE, NEW LISBON, WI 53950-9327",10/2/2020,11/3/2020,
,,TOWN OF GRAFTON - OZAUKEE COUNTY,GRAFTON TOWN HALL,"1102 BRIDGE ST, GRAFTON, WI 53024",10/1/2020,11/3/2020,Drop Box is available in glass right next to our Office door  all day every day
,,TOWN OF GRAND RAPIDS - WOOD COUNTY,Town of Grand Rapids Municipal Building,"2410 48TH ST S, WISCONSIN RAPIDS, WI 54494-7796",9/21/2020,11/3/2020,"Prior to Election Day, town residents may drop-off their absentee ballots in the Town Hall's after hours drop box at any time, located outside their main doors. The drop box is locked and under 24/7 video surveillance and emptied numerous times throughout the day. Absentee ballot drop-offs can also be done in-person at Town Hall during their business hours. "
,,TOWN OF GRAND VIEW - BAYFIELD COUNTY,Grand View Town Hall,"22010 GRANDVIEW BLVD, GRAND VIEW, WI 54839",9/17/2020,11/3/2020,
,,TOWN OF GRANT - PORTAGE COUNTY,Grant Town Hall,"9011 COUNTY ROAD WW, WISCONSIN RAPIDS, WI 54494-9326",9/30/2020,11/3/2020,Drop Box Located by Town Hall Back Door Area
,,TOWN OF GRANTSBURG - BURNETT COUNTY,Town of Grantsburg Hall & Office,"216 S OAK ST, GRANTSBURG, WI 54840",9/17/2020,11/3/2020,"Ballots must be returned before 8 P.M. on November 3, 2020"
,,TOWN OF GROVER - MARINETTE COUNTY,Grover Town Hall,"W5161 TOWN HALL RD, PESHTIGO, WI 54157-9584",9/30/2020,11/3/2020,
,,TOWN OF HAMMEL - TAYLOR COUNTY,Clerk Drop Box,"N2497 COUNTY RD E, MEDFORD, WI 54451-9445",10/20/2020,11/3/2020,Every day 8-5.
,,TOWN OF HARRISON - GRANT COUNTY,Drop Box,"5911 BENNETT LN, PLATTEVILLE, WI 53818-9644",9/27/2020,11/3/2020,Mailbox attached to inside of front door railing.
,,TOWN OF HARTFORD - WASHINGTON COUNTY,Town of Hartford Town Hall,"3360 CTH K COUNTY HWY K, HARTFORD, WI 53027",9/17/2020,11/3/2020,
,,TOWN OF HILLSBORO - VERNON COUNTY,City Hall,"123 MECHANIC ST, HILLSBORO, WI 54634-4342",9/18/2020,11/3/2020,Lighted/secured location
,,TOWN OF HULL - PORTAGE COUNTY,Town of Hull Municipal Building,"4550 WOJCIK MEMORIAL DR, STEVENS POINT, WI 54482",9/18/2020,11/3/2020,In person Absentee voting will start Tuesday October 20 through Oct 30. Hours 8-4 Monday through Friday. Friday Oct 30th 8-5.
,,TOWN OF HUMBOLDT - BROWN COUNTY,Humboldt Drop Box,"575 S NEW FRANKEN RD, GREEN BAY, WI 54311-9244",9/17/2020,11/3/2020,Hand deliver your completed absentee ballot in the completed certificate envelope to your municipal clerk’s home at 575 S New Franken Rd by 7:00 pm on November 3 or to your polling place at 5500 Humboldt Rd by 8:00 pm on November 3. 
,,TOWN OF HUNTER - SAWYER COUNTY,Town of Hunter Hall,"9316 N COUNTY ROAD CC, HAYWARD, WI 54843-6616",9/21/2020,11/3/2020,Dropbox is located on the right side of the Town Hall door.
,,TOWN OF JACKSON - WASHINGTON COUNTY,Town of Jackson Town Hall,"3146 DIVISION RD, JACKSON, WI 53037-9711",9/28/2020,11/3/2020,Drop box is located in front of building near USPS mailbox.
,,TOWN OF JANESVILLE - ROCK COUNTY,Town Hall,"1628 N LITTLE CT, JANESVILLE, WI 53548-7613",9/29/2020,11/3/2020,None
,,TOWN OF JORDAN - GREEN COUNTY,Municipal Clerk Residence,"N3288 LOOP RD, MONROE, WI 53566-9231",9/29/2020,11/3/2020,
,,TOWN OF LA PRAIRIE - ROCK COUNTY,Clerk's Office,"3954 S NEVADA TRL, JANESVILLE, WI 53546-9551",9/17/2020,11/3/2020,"Drop box will be closed at 4 pm November 3, 2020 Election Day. Ballots may be dropped at the polling location 3610 S LaPrairie Townhall Rd."
,,TOWN OF LA VALLE - SAUK COUNTY,Town Hall,"314 STATE ROAD 33/58, LA VALLE, WI 53941",9/16/2020,11/3/2020,"Drop off Ballot  in Clerk's office Monday-Thursday 8:00 am- 4:00pm.  Dropbox is checked daily Monday - Thursday. When you mail or use the Drop Box to return your Ballot: make sure you complete the Ballot Certificate, name, address, as the Voter, Please make sure you sign your name  in the Voter Signature Area and date. Please make sure you have your Witness Sign and write their address in the space provided- or your ballot will not be  opened by the Chief Inspector and your ballot will not be counted.  Mail or drop off your voted ballot early."
,,TOWN OF LAFAYETTE - CHIPPEWA COUNTY,Town Hall Drop Box,"5765 197TH ST, CHIPPEWA FALLS, WI 54729-9128",9/24/2020,11/3/2020,
,,TOWN OF LAKE HOLCOMBE - CHIPPEWA COUNTY,Holcombe Town Hall Drop box,"26179 274TH ST, HOLCOMBE, WI 54745-4405",10/5/2020,11/3/2020,
,,TOWN OF LANARK - PORTAGE COUNTY,Lanark Town Hall,"7174 COUNTY ROAD TT, AMHERST, WI 54406-8801",9/17/2020,11/3/2020,
,,TOWN OF LEBANON - DODGE COUNTY,Town Hall,"N1738 COUNTY ROAD R, LEBANON, WI 53047",9/24/2020,11/3/2020,
,,TOWN OF LEDGEVIEW - BROWN COUNTY,Ledgeview Community Center,"3700 DICKINSON RD, DE PERE, WI 54115-8797",9/30/2020,11/3/2020,
,,TOWN OF LENROOT - SAWYER COUNTY,Town of Lenroot Hall,"12215 N US HIGHWAY 63, HAYWARD, WI 54843-5357",9/17/2020,11/3/2020,
,,TOWN OF LITTLE SUAMICO - OCONTO COUNTY,Little Suamico Town Hall,"5964 COUNTY RD S, SOBIESKI, WI 54171-9713",9/30/2020,11/3/2020,
,,TOWN OF MADISON - DANE COUNTY,Town of Madison,"2120 FISH HATCHERY RD, MADISON, WI 53713-1253",9/21/2020,11/3/2020,
,,TOWN OF MAGNOLIA - ROCK COUNTY,Clerk's Office,"13343 W COUNTY ROAD B, BRODHEAD, WI 53520-9002",9/29/2020,11/3/2020,None
,,TOWN OF MAIDEN ROCK - PIERCE COUNTY,Town Hall,"W2096 COUNTY ROAD CC, MAIDEN ROCK, WI 54750-8707",9/27/2020,11/3/2020,
,,TOWN OF MANITOWISH WATERS - VILAS COUNTY,Manitowish Waters Town Hall,"5733 AIRPORT RD, MANITOWISH WATERS, WI 54545",9/25/2020,11/3/2020,.
,,TOWN OF MANITOWOC - MANITOWOC COUNTY,Residence,"1805 LISSA LN, MANITOWOC, WI 54220-7064",9/19/2020,11/3/2020,
,,TOWN OF MANITOWOC RAPIDS - MANITOWOC COUNTY,Manitowoc Rapids Town Hall,"8624 COUNTY ROAD JJ, MANITOWOC, WI 54220-9450",9/21/2020,11/3/2020,
,,TOWN OF MARCELLON - COLUMBIA COUNTY,Marcellon Town Hall,"W6180 SCHOOL RD, PARDEEVILLE, WI 53954-9746",10/7/2020,11/3/2020,
,,TOWN OF MARSHFIELD - FOND DU LAC COUNTY,Town Hall Drop box  - East Entrance,"999 FOND DU LAC ST, MOUNT CALVARY, WI 53057-9772",9/28/2020,11/3/2020,"All Day (24/7) except November 3, 2020.  Must be in box prior to 8:00 p.m."
,,TOWN OF MARTELL - PIERCE COUNTY,Clerk's Home,"W6562 870TH AVE, RIVER FALLS, WI 54022-4503",9/21/2020,11/3/2020,Witnessing available
,,TOWN OF MCMILLAN - MARATHON COUNTY,Ballot Drop Box,"113904 ELM TREE RD, MARSHFIELD, WI 54449",9/23/2020,11/3/2020,"Ballot Dropbox is located on the wall to the right of the glass door to the Clerk's Office in the garage building at the back of the parking lot, behind the town hall."
,,TOWN OF MERRILL - LINCOLN COUNTY,Merrill Town Hall Office,"W4594 PROGRESS AVE, MERRILL, WI 54452",9/24/2020,11/3/2020,
,,TOWN OF MILFORD - JEFFERSON COUNTY,Clerk's Drop Box,"W6543 VANDRE RD, JOHNSON CREEK, WI 53038-9643",9/23/2020,11/3/2020,All day - up until 8pm CST on Election Day (11/3/20). Witnessing is available at drop box.
,,TOWN OF MILTON - ROCK COUNTY,Milton Town Hall,"23 1ST ST, MILTON, WI 53563-1122",9/30/2020,11/3/2020,None
,,TOWN OF MINERAL POINT - IOWA COUNTY,Mineral Point City Hall,"137 HIGH ST, SUITE 1, MINERAL POINT, WI 53565-1387",9/13/2020,11/3/2020,Available all day
,,TOWN OF MONROE - GREEN COUNTY,Monroe Town Hall,"N3302 MONROE RD, MONROE, WI 53566",9/29/2020,11/3/2020,
,,TOWN OF MOSCOW - IOWA COUNTY,Drop Box,"895 COUNTY ROAD F, HOLLANDALE, WI 53544",9/28/2020,11/3/2020,All Day-24/7.
,,TOWN OF MOUNTAIN - OCONTO COUNTY,Town of Mountain Office,"13503 WELLER RD, MOUNTAIN, WI 54149",10/1/2020,11/3/2020,Ballots can be dropped in the locked mailbox outside the Town office door.  
,,TOWN OF MUKWA - WAUPACA COUNTY,Mukwa Town Hall,"E8514 WEYAUWEGA RD, NEW LONDON, WI 54961-7934",9/17/2020,11/3/2020,Drop box is available 24/7.  There are Security Cameras.
,,TOWN OF MUKWONAGO - WAUKESHA COUNTY,TOWN HALL,"W320S8315 BEULAH RD, MUKWONAGO, WI 53149-9235",9/18/2020,11/3/2020,
,,TOWN OF NAMAKAGON - BAYFIELD COUNTY,Namakagon Town Hall,"23845 COUNTY HIGHWAY M, CABLE, WI 54821",9/21/2020,11/3/2020,
,,TOWN OF NEENAH - WINNEBAGO COUNTY,Town of Neenah Town Hall,"1600 BREEZEWOOD LN, NEENAH, WI 54956-4410",9/21/2020,11/3/2020,"Absentee ballots must be received in the Clerk's Office by 8 pm on Election Day, November 3, 2020"
,,TOWN OF NEW GLARUS - GREEN COUNTY,New Glarus Town Hall,"26 5TH AVE, NEW GLARUS, WI 53574-8700",9/29/2020,11/3/2020,
,,TOWN OF NEW HOLSTEIN - CALUMET COUNTY,Town Of New Holstein Drop-Box,"W1465 TECUMSEH RD, NEW HOLSTEIN, WI 53061",9/21/2020,11/3/2020,
,,TOWN OF NEWBOLD - ONEIDA COUNTY,Newbold Town Hall,"4608 APPERSON DRIVE, RHINELANDER, WI 54501",9/22/2020,11/3/2020,
,,TOWN OF NEWTON - MANITOWOC COUNTY,Town Hall Drop Box,"6532 CARSTENS LAKE RD, MANITOWOC, WI 54220-9172",9/17/2020,11/3/2020,
,,TOWN OF NORWAY - RACINE COUNTY,Norway Town Hall,"6419 HEG PARK RD, WIND LAKE, WI 53185-2735",9/18/2020,11/3/2020,
,,TOWN OF OAKLAND - BURNETT COUNTY,Oakland Town Hall,"27826 LONE PINE RD, WEBSTER, WI 54893",9/20/2020,11/3/2020,
,,TOWN OF OAKLAND - JEFFERSON COUNTY,Oakland Town Hall,"N4450 COUNTY HIGHWAY A, CAMBRIDGE, WI 53523",9/1/2020,11/3/2020,The dropbox is marked by a blue sign and is located to the left of the door to enter the Town Board/Voting room.  It is also under 24 hour surveillance and is checked at least once per day during business hours.
,,TOWN OF OSCEOLA - POLK COUNTY,Town Hall,"516 N EAST AVE, DRESSER, WI 54009-9039",9/23/2020,11/3/2020,all day availability
,,TOWN OF OSHKOSH - WINNEBAGO COUNTY,Town of Oshkosh Dropbox,"1076 COZY LN, OSHKOSH, WI 54901-1404",9/30/2020,11/3/2020,"Town of Oshkosh residents, please read the ballot instructions that was included with your ballot for dates, times, and place. Or call the clerk 920-235-7771; email clerk@town.oshkosh.wi.gov"
,,TOWN OF PINE GROVE - PORTAGE COUNTY,Pine Grove Municipal Center,"5444 COUNTY RD W, BANCROFT, WI 54921-9669",9/16/2020,11/3/2020,Drop Box is accessible in the Pine Grove Municipal Center main entrance foyer area.  Drop in drawer to your right as you walk in.  Ballots will drop securely into office bin.
,,TOWN OF PLEASANT VALLEY - EAU CLAIRE COUNTY,Pleasant Valley Town Hall,"S10414 COUNTY ROAD HH I, ELEVA, WI 54738",9/20/2020,11/3/2020,
,,TOWN OF PORT WING - BAYFIELD COUNTY,Clerk's Office,"83190 GRAND AVE, PORT WING, WI 54865-4001",9/16/2020,11/3/2020,
,,TOWN OF PRIMROSE - DANE COUNTY,Town Hall,"8468 COUNTY HIGHWAY A BOX 1, VERONA, WI 53593",10/2/2020,11/3/2020,
,,TOWN OF RIB LAKE - TAYLOR COUNTY,Village Hall,"655 PEARL ST, RIB LAKE, WI 54470-0205",9/23/2020,11/3/2020,
,,TOWN OF RIB MOUNTAIN - MARATHON COUNTY,Town of Rib Mountain Municipal Center,"227800 SNOWBIRD AVE, WAUSAU, WI 54401",9/22/2020,11/3/2020,The drop box is located just outside of our front doors.
,,TOWN OF RICE LAKE - BARRON COUNTY,Rice Lake Town Hall,"1830 MACAULEY AVE, RICE LAKE, WI 54868-2909",9/22/2020,11/3/2020,"Deadline is 8:00 pm on November 3, 2020"
,,TOWN OF RICHMOND - ST. CROIX COUNTY,Richmond Town Hall,"1428 100TH ST, NEW RICHMOND, WI 54017",10/1/2020,11/3/2020,
,,TOWN OF RUBICON - DODGE COUNTY,"Town of Rubicon Hall - Hwy P, Rubicon, WI  53078","N3864 COUNTY ROAD P, RUBICON, WI 53078-9701",,11/3/2020,"Drop Box available 24 hours per day.  Absentee Ballots must be dropped here by 8PM on November 3, 2020.  "
,,TOWN OF RUSH RIVER - ST. CROIX COUNTY,Rush River Town Hall,"2008 COUNTY ROAD N, BALDWIN, WI 54002",9/21/2020,11/3/2020,Available until 8pm 11/03/2020
,,TOWN OF RUSSELL - BAYFIELD COUNTY,Town of Russell Garage,"35900 STATE HIGHWAY 13, BAYFIELD, WI 54814-4886",9/18/2020,11/3/2020,"Drop Box Ballots will be accepted up to 8 p.m. on November 3, 2020."
,,TOWN OF SAND LAKE - BURNETT COUNTY,Sand Lake Town Hall,"5364 COUNTY ROAD X, WEBSTER, WI 54893",9/17/2020,11/3/2020,
,,TOWN OF SARATOGA - WOOD COUNTY,Saratoga Town Office,"1120 STATE HIGHWAY 73 S, WISCONSIN RAPIDS, WI 54494",10/1/2020,11/3/2020,
,,TOWN OF SCANDINAVIA - WAUPACA COUNTY,Municipal Center,"349 N MAIN ST, SCANDINAVIA, WI 54977",11/3/2020,11/3/2020,
,,TOWN OF SCHLESWIG - MANITOWOC COUNTY,Schleswig Town Hall,"21935 ROCKVILLE RD, KIEL, WI 53042-2006",9/22/2020,11/3/2020,
,,TOWN OF SCOTT - LINCOLN COUNTY,Scott Town Hall,"N563 LAKE ROAD, MERRILL, WI 54452",9/27/2020,11/3/2020,
,,TOWN OF SEYMOUR - EAU CLAIRE COUNTY,SEYMOUR TOWN HALL,"6500 TOWER DR, EAU CLAIRE, WI 54703-9722",9/24/2020,11/3/2020,
,,TOWN OF SHARON - WALWORTH COUNTY,Town Hall,"N1097 BOLLINGER RD, SHARON, WI 53585-9704",10/12/2020,11/3/2020,"Office hours are mainly by appointment by calling 262-736-4608 or 262-880-8428.  Scheduled hours are Tuesdays, October 20 & October 27th, from 10:00 am - 2:00 pm.  A drop box is located at the Town Hall by the office door.  "
,,TOWN OF SHEBOYGAN FALLS - SHEBOYGAN COUNTY,Town of Sheboygan Falls Town Hall,"W3860 COUNTY ROAD O, SHEBOYGAN FALLS, WI 53085-2213",9/17/2020,11/3/2020,
,,TOWN OF SHELBY - LA CROSSE COUNTY,Town Drop Box,"2800 WARD AVE, LA CROSSE, WI 54601",9/28/2020,11/3/2020,Available 24/7 and I check it multiple times throughout the day. It will check it for the final time at 8:00 p.m. on November 3rd.
,,TOWN OF SPARTA - MONROE COUNTY,Town Hall,"5724 HAMLET AVE, SPARTA, WI 54656-3869",9/23/2020,11/3/2020,
,,TOWN OF ST. JOSEPH - ST. CROIX COUNTY,St. Joseph Town Hall - Next to Mailbox,"1337 COUNTY ROAD V, HUDSON, WI 54016-6712",9/17/2020,11/3/2020,
,,TOWN OF STERLING - VERNON COUNTY,Town Hall,"E4621 STATE HIGHWAY 82, VIROQUA, WI 54665",9/23/2020,11/3/2020,
,,TOWN OF STETTIN - MARATHON COUNTY,Stettin Town Hall,"141678 STETTIN DR, WAUSAU, WI 54401",9/20/2020,11/3/2020,Secure Drop Box
,,TOWN OF STONE LAKE - WASHBURN COUNTY,Stone Lake Town Hall,"N6071 STONE LAKE RD, STONE LAKE, WI 54876-8838",9/24/2020,11/3/2020,
,,TOWN OF STUBBS - RUSK COUNTY,Stubbs Town Hall,"N3305 HUTCHINSON RD S, BRUCE, WI 54819",9/23/2020,11/3/2020,
,,TOWN OF SUGAR CREEK - WALWORTH COUNTY,Sugar Creek Town Hall,"N6641 COUNTY ROAD H, ELKHORN, WI 53121-2909",9/18/2020,11/3/2020,
,,TOWN OF SULLIVAN - JEFFERSON COUNTY,Town Hall,"N3866 WEST ST, SULLIVAN, WI 53178-9621",9/20/2020,11/3/2020,
,,TOWN OF SUMMIT - DOUGLAS COUNTY,Town Hall Dropbox,"2731 E MILCHESKY RD, FOXBORO, WI 54836",10/1/2020,11/3/2020,
,,TOWN OF SUN PRAIRIE - DANE COUNTY,Sun Prairie Town Hall,"5556 TWIN LANE RD, MARSHALL, WI 53559-8917",9/22/2020,11/3/2020,"The Drop Box is located to the left of the front door.  If you drop something off, please put up the RED Flag."
,,TOWN OF TAINTER - DUNN COUNTY,Town of Tainter Town Hall,"N8150 COUNTY ROAD D, COLFAX, WI 54730",9/21/2020,11/3/2020,
,,TOWN OF TRADE LAKE - BURNETT COUNTY,Trade Lake Town Hall,"11810 TOWN HALL RD, FREDERIC, WI 54837-9649",10/1/2020,11/3/2020,
,,TOWN OF TRENTON - WASHINGTON COUNTY,Trenton Town Hall,"1071 HIGHWAY 33, WEST BEND, WI 53095-8958",9/19/2020,11/3/2020,
,,TOWN OF TROY - ST. CROIX COUNTY,Town of Troy,"654 GLOVER RD, HUDSON, WI 54016-8201",9/17/2020,11/3/2020,
,,TOWN OF TROY - WALWORTH COUNTY,Town of Troy Town Hall,"N8870 BRIGGS ST, EAST TROY, WI 53120-1721",9/21/2020,11/3/2020,"The drop box is located at the entrance to the parking lot, attached to the mailbox. Please be sure to slide into the slot. Please do not leave on the shelf."
,,TOWN OF VANDENBROEK - OUTAGAMIE COUNTY,Town Hall,"W2030 COUNTY ROAD JJ, FREEDOM, WI 54130-9419",9/17/2020,11/3/2020,Located on the right side of the building by the handicap parking spots.
,,TOWN OF VERMONT - DANE COUNTY,Vermont Town Hall,"4017 COUNTY ROAD JJ, BLACK EARTH, WI 53515-9729",9/19/2020,11/3/2020,Please drop ballots through the mail slot in the door
,,TOWN OF VERONA - DANE COUNTY,Verona Town Hall,"7669 COUNTY ROAD PD, VERONA, WI 53593-1035",9/18/2020,11/3/2020,"Our absentee ballot drop box is available 24/7 inside the Town Hall vestibule.  Your ballot MUST be delivered to town hall by 8:00 PM on Election Day, Tues. Nov. 3rd. "
,,TOWN OF WALWORTH - WALWORTH COUNTY,Walworth Town Hall,"W6741 BRICK CHURCH RD, WALWORTH, WI 53184-5738",9/17/2020,11/3/2020,
,,TOWN OF WASHINGTON - VILAS COUNTY,Town of Washington Town Hall,"2301 TOWN HALL RD, EAGLE RIVER, WI 54521",9/16/2020,11/3/2020,
,,TOWN OF WAUPUN - FOND DU LAC COUNTY,Dropbox and Appointment Only,"N3359 LORI LN, WAUPUN, WI 53963-8734",9/24/2020,11/3/2020,24/7 Drop Box - Gray 4' mailbox by front door.  Call to hand deliver you ballot.
,,TOWN OF WEST POINT - COLUMBIA COUNTY,West Point Town Hall,"N2114 RAUSCH RD, LODI, WI 53555-9362",9/23/2020,11/3/2020,
,,TOWN OF WESTPORT - DANE COUNTY,Westport Town Hall,"5387 MARY LAKE RD, WAUNAKEE, WI 53597-9128",10/1/2020,11/3/2020,
,,TOWN OF WITHEE - CLARK COUNTY,Town Hall,"511 DIVISION ST BOX A, WITHEE, WI 54498",9/23/2020,11/3/2020,"All Day (24/7) except on November 3, 2020, the dropbox  closes at 8 pm. No witnessing available for the 24/7 dropbox.  The dropbox is labeled as the ""Village Clerk"" where residents make utility payments."
,,TOWN OF WOLF RIVER - LANGLADE COUNTY,Wolf River Town Office,"N4393 BLUE GOOSE DR, WHITE LAKE, WI 54491-9519",9/23/2020,11/3/2020,
,,TOWN OF WOOD RIVER - BURNETT COUNTY,Town Shop,"23610 N ALPHA DR, GRANTSBURG, WI 54840",9/22/2020,11/3/2020,"The last pick up of absentee ballots will be 11:00 am Nov. 3 2020, after that you will have to drop them off at the polling place Calvary Covenant Church, 11530 Hwy 70 before 8 pm."
